"","PartNum","alpha4","perf4","PE4","absPE4","alpha5","perf5","PE5","absPE5","alpha6","perf6","PE6","absPE6"
"1",1,0.393877551020408,0.7,0.136211400553039,0.361200383019397,0.0908163265306122,0.55,0.284968718742975,0.434117557685617,0.47469387755102,0.9,0.105153129431223,0.275457241481788
"2",2,0.191836734693878,0.3,0.171203868978351,0.394538715051251,0.313061224489796,0.4,0.0985119813447685,0.315920111207409,0.151428571428571,0.3,0.177874979831084,0.328528902488114
"3",3,1,0.9,0.05,0.05,0.0908163265306122,0.55,0.346455923579652,0.417388246736728,0.393877551020408,0.8,0.125995634853182,0.281076278176176
"4",4,0.555510204081633,0.75,0.0899869424808,0.145537962888963,0.373673469387755,0.8,0.131792140466412,0.327553868795725,0.212040816326531,0.65,0.182007913994995,0.469657286482943
"5",6,0.393877551020408,0.8,0.12598676927768,0.264920968376493,0.131224489795918,0.65,0.242168609485952,0.507675140840233,0.212040816326531,0.35,0.0735326520675799,0.314439139472167
"6",8,0.53530612244898,0.8,0.093378976777159,0.183344358605309,0.151428571428571,0.9,0.343732524349289,0.374018238635004,0.454489795918367,0.75,0.109678471358438,0.232747212822065
"7",9,0.191836734693878,0.5,0.273749186537441,0.457001077669953,0.131224489795918,0.3,0.140572997564392,0.393883217064775,0.232244897959184,0.35,0.0368273922798547,0.375833245720841
"8",10,1,0.95,0.05,0.05,0.53530612244898,0.9,0.093402962324806,0.146933574569704,0.555510204081633,0.7,0.0899614408429384,0.145512461251102
"9",11,0.212040816326531,0.2,0.0476462662536561,0.225515781866449,0.27265306122449,0.35,0.101283816910408,0.378307264272145,0.53530612244898,0.4,0.0879501342226082,0.177915516050758
"10",12,0.393877551020408,0.55,0.0939679320889118,0.40744044538436,0.454489795918367,0.65,0.0949123950470256,0.263911140142502,0.434285714285714,0.65,0.107886647418722,0.372619027959049
"11",14,0.191836734693878,0.55,0.14651794591996,0.4191119900559,0.27265306122449,0.5,0.104987858209144,0.358380630091412,0.232244897959184,0.5,0.210189698868439,0.419133759828184
"12",15,0.454489795918367,0.85,0.137266246701446,0.182715226293282,0.353469387755102,0.25,0.0903357881917215,0.2291612716312,0.373673469387755,0.45,0.0779163144920161,0.311221894827627
"13",16,0.232244897959184,0.45,0.151559816651191,0.44714423559122,0.333265306122449,0.5,0.0768228943182862,0.378716168720976,0.111020408163265,0.25,0.191088958933261,0.363524934963514
"14",17,0.494897959183673,0.75,0.0945805341126479,0.194472442690111,1,0.9,0.05,0.05,1,0.9,0.05,0.05
"15",18,0.515102040816326,0.8,0.0728152948341198,0.172780448754943,0.171632653061224,0.65,0.276587017437724,0.385611859109361,0.53530612244898,0.85,0.0931684952016206,0.192161559583072
"16",20,0.0706122448979592,0.2,0.226222414682006,0.328164331828178,0.353469387755102,0.55,0.118150551413976,0.344901725189177,0.515102040816326,0.75,0.0942959802748336,0.193990345440943
"17",21,0.53530612244898,0.7,0.0923139442833324,0.245088099646634,0.333265306122449,0.45,0.0930968578340685,0.396158802079851,0.373673469387755,0.65,0.132004221202801,0.207434375722601
"18",22,0.353469387755102,0.6,0.185933136504541,0.404839432444798,0.131224489795918,0.45,0.219314596368239,0.357731785485681,0.454489795918367,0.8,0.101635770411033,0.350842879365504
"19",24,0.47469387755102,0.85,0.090476355143323,0.282971383091633,0.212040816326531,0.55,0.204686736471873,0.439701095444694,0.171632653061224,0.45,0.125598107005683,0.460945551229931
"20",25,0.47469387755102,0.8,0.0970197695924947,0.282656963427089,0.494897959183673,0.85,0.101013548870557,0.175500741706875,0.47469387755102,0.75,0.0414988052623656,0.26374050603835
"21",26,1,0.85,0.05,0.05,0.515102040816326,0.95,0.0943030265425577,0.194268180463381,0.53530612244898,0.95,0.093402962324806,0.146933574569704
"22",27,1,0.85,0.05,0.05,0.111020408163265,0.8,0.394408140453641,0.426481709799747,0.47469387755102,0.85,0.104251605299662,0.274178338722184
"23",28,0.212040816326531,0.45,0.179938092757748,0.455594818908552,0.111020408163265,0.45,0.204117185312233,0.404501721013244,0.373673469387755,0.75,0.125552939331225,0.335579712404736
"24",29,0.393877551020408,0.85,0.154700304983892,0.29226633451543,0.333265306122449,0.75,0.172829220700092,0.358375728588565,0.333265306122449,0.8,0.145582968265744,0.35316144839679
"25",30,0.191836734693878,0.65,0.258674625822447,0.386736724819893,0.111020408163265,0.5,0.27429869657608,0.429356190215643,0.353469387755102,0.55,0.120854730277486,0.439115483154204
"26",31,0.494897959183673,0.8,0.10078468342416,0.25935791406173,0.515102040816326,0.6,0.0852679598995923,0.261358821418256,0.393877551020408,0.8,0.125846038911686,0.314133360955815
"27",32,0.353469387755102,0.45,0.0921242942989976,0.368797356690406,1,0.85,0.05,0.05,0.393877551020408,0.6,0.0649796396621715,0.407245760649811
"28",33,0.515102040816326,0.8,0.0853099743003202,0.185293077507642,0.191836734693878,0.7,0.278547448386097,0.344947727181497,0.434285714285714,0.65,0.0630076923699924,0.356317548468241
"29",34,0.333265306122449,0.5,0.099137780007513,0.410539259393708,0.53530612244898,0.65,0.0933715513699116,0.14690216361481,0.47469387755102,0.85,0.105149929379909,0.260456243305099
