particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
6,41,4,4,Instruments,laud,1,1,0.605752290866803,2,old,4,Instruments,laud,1,1,1.06765112548601,5,0.0934843485010788,6
6,42,3,4,FruitsAndVegs,mango,1,0,0.568842784094159,1,old,3,FruitsAndVegs,mango,0,0,2.98956484813243,4,0.784856136597227,6
6,43,1,3,FruitsAndVegs,coffeebean,2,0,1.0430822056951,1,old,1,FruitsAndVegs,coffeebean,1,1,1.50143925944576,3,1.40915474819485,6
6,44,3,6,HouseObjects,dishsoap,3,0,0.997494485927746,1,old,3,HouseObjects,dishsoap,1,1,1.43192214815645,3,1.00775387976319,5
6,45,1,3,Instruments,pipepiano,3,0,1.39230827701977,2,old,1,Instruments,pipepiano,1,1,2.13563291972969,2,0.548618744011037,6
6,46,4,5,HouseObjects,towel,2,1,1.24302396184066,2,old,4,HouseObjects,towel,1,1,1.28535887505859,3,0.0940831444459036,4
6,47,1,3,FruitsAndVegs,celery,1,0,1.76541659299983,1,old,1,FruitsAndVegs,celery,1,1,2.66953609819757,4,1.20917995733907,6
6,48,4,4,Instruments,trombone2,1,1,0.559848014207091,2,old,4,Instruments,trombone2,1,1,2.90377696941141,3,1.03470707905944,6
6,49,1,1,FruitsAndVegs,endive2,3,1,1.47423525212798,1,old,1,FruitsAndVegs,endive2,1,1,1.36243165720953,4,0.388693370565306,6
6,50,4,5,HouseObjects,sponge,2,1,0.797395253204741,2,old,4,HouseObjects,sponge,1,1,2.43316143471748,2,2.50174843962304,4
6,51,1,3,HouseObjects,flyswatter2,1,0,1.64800060808193,1,old,1,HouseObjects,flyswatter2,1,1,2.62335631763563,3,0.938987588859163,6
6,52,1,3,Instruments,harp2,1,1,0.898321093874983,1,old,1,Instruments,harp2,0,0,2.4114338295185,2,0.351666477974504,4
6,53,4,5,HouseObjects,doormat,2,1,0.916686845710501,1,old,4,HouseObjects,doormat,1,1,2.56038266501855,6,2.07910875283415,5
6,54,1,3,HouseObjects,saw,1,0,1.63900295161875,1,old,1,HouseObjects,saw,1,1,2.25589182286058,6,9.46142245084047e-05,6
6,55,4,6,FruitsAndVegs,casabamelon,3,1,1.64151584240608,1,old,4,FruitsAndVegs,casabamelon,1,1,0.830694022937678,6,1.22664639248978,6
6,56,4,5,HouseObjects,spraybottle,2,1,0.756513230095152,2,old,4,HouseObjects,spraybottle,0,0,2.85180294699967,2,0.23390924022533,4
6,57,2,5,HouseObjects,pan,2,1,0.559759493742604,1,old,2,HouseObjects,pan,1,1,1.41989426937653,5,0.32237518375041,5
6,58,4,5,HouseObjects,garbagebin2,2,1,0.554059224727098,1,old,4,HouseObjects,garbagebin2,1,1,1.46237896190723,5,0.00537120382068679,5
6,59,2,4,Instruments,oboe2,1,1,0.676615490519907,2,old,2,Instruments,oboe2,0,0,1.29711221216712,3,0.539399786386639,6
6,60,4,4,Instruments,trumpet,1,1,0.463006623322144,2,old,4,Instruments,trumpet,1,1,1.59097707027104,2,0.398217659676448,6
6,61,4,4,Instruments,drums,1,1,0.465401807567105,1,old,4,Instruments,drums,1,1,0.90459963248577,6,1.4061941234977,4
6,62,2,5,HouseObjects,glassmop2,2,1,1.07565966190305,1,old,2,HouseObjects,glassmop2,1,1,2.33774823817657,4,0.265263446199242,5
6,63,4,6,FruitsAndVegs,greenolive,3,1,1.11829317145748,2,old,4,FruitsAndVegs,greenolive,1,1,1.02247650118079,5,0.121399085153826,5
6,64,1,2,HouseObjects,key2,0,0,NaN,2,old,1,HouseObjects,key2,1,1,1.47902850713581,3,0.0896651392104104,4
6,65,4,6,FruitsAndVegs,carrot,3,1,1.39504022389883,1,old,4,FruitsAndVegs,carrot,1,1,1.21087339229416,6,0.648316844250076,6
6,66,1,3,FruitsAndVegs,coconut2,1,0,1.13345069781644,1,old,1,FruitsAndVegs,coconut2,0,0,3.23476782458602,1,1.21067967358977,6
6,67,3,4,FruitsAndVegs,mango2,1,0,0.647887071012519,1,old,3,FruitsAndVegs,mango2,1,1,1.10294353001518,6,0.77034615672892,6
6,68,4,5,HouseObjects,towel,2,1,0.650093988864683,2,old,4,HouseObjects,towel,1,1,1.28535887505859,3,0.0940831444459036,4
6,69,4,5,HouseObjects,spraybottle,2,1,0.524885316321161,2,old,4,HouseObjects,spraybottle,0,0,2.85180294699967,2,0.23390924022533,4
6,70,3,5,Instruments,violin2,2,0,0.470929205126595,2,old,3,Instruments,violin2,0,0,2.00745945295785,1,0.550432772026397,6
6,71,1,1,Instruments,record,3,0,0.737447653431445,1,old,1,Instruments,record,1,1,1.18419024458854,5,0.352745401323773,4
6,72,4,5,HouseObjects,doormat,2,1,0.659712892200332,1,old,4,HouseObjects,doormat,1,1,2.56038266501855,6,2.07910875283415,5
6,73,4,4,Instruments,flutetrans,1,1,0.526106962875929,1,old,4,Instruments,flutetrans,1,1,2.21369931200752,6,1.14756650500931,4
6,74,4,6,FruitsAndVegs,cherrytomato2,2,0,1.48890880245017,2,old,4,FruitsAndVegs,cherrytomato2,0,0,1.66025139170233,2,1.02519273245707,5
6,75,2,6,FruitsAndVegs,lettuce,3,1,0.658974259451497,2,old,2,FruitsAndVegs,lettuce,1,1,1.39384583907668,5,0.115593617898412,5
6,76,4,4,Instruments,drums,1,1,0.677351878199261,1,old,4,Instruments,drums,1,1,0.90459963248577,6,1.4061941234977,4
6,77,1,1,Instruments,triangle,3,0,1.02389603591291,2,old,1,Instruments,triangle,0,0,2.54868898307905,3,1.49370109522715,6
6,78,2,5,HouseObjects,doormat2,2,1,0.963006142235827,2,old,2,HouseObjects,doormat2,0,0,2.21459670423064,4,0.0420424109324813,4
6,79,4,4,Instruments,musicstand2,1,1,0.525263131887186,2,old,4,Instruments,musicstand2,1,1,3.02310191758443,3,1.00604376697447,6
6,80,4,5,HouseObjects,thread,2,1,0.791709737561177,2,old,4,HouseObjects,thread,1,1,1.39180505741388,4,0.0554882207652554,4
6,81,4,4,Instruments,trumpet,1,1,0.642255116661545,2,old,4,Instruments,trumpet,1,1,1.59097707027104,2,0.398217659676448,6
6,82,3,5,FruitsAndVegs,ginger,2,0,0.628536368603818,2,old,3,FruitsAndVegs,ginger,1,1,1.20673185319174,4,0.0888697379268706,5
6,83,3,6,HouseObjects,rubbergloves,3,0,0.839065621548798,2,old,3,HouseObjects,rubbergloves,1,1,1.17131308256648,2,0.625538218882866,4
6,84,2,5,HouseObjects,knife2,2,1,0.594260025012773,2,old,2,HouseObjects,knife2,1,1,1.22587215912063,2,0.297187262098305,4
6,85,2,6,FruitsAndVegs,casabamelon2,3,1,0.852591933798976,1,old,2,FruitsAndVegs,casabamelon2,0,0,2.70534262713045,2,1.63090108387405,6
6,86,1,3,HouseObjects,recyclingbin2,1,0,1.16687775804894,1,old,1,HouseObjects,recyclingbin2,0,0,1.72387676022481,4,0.516657723754179,5
6,87,4,5,HouseObjects,thread,2,1,0.913259564142209,2,old,4,HouseObjects,thread,1,1,1.39180505741388,4,0.0554882207652554,4
6,88,4,5,HouseObjects,spraybottle,2,1,0.587711755535565,2,old,4,HouseObjects,spraybottle,0,0,2.85180294699967,2,0.23390924022533,4
6,89,3,4,FruitsAndVegs,kiwi,1,0,0.702249542402569,2,old,3,FruitsAndVegs,kiwi,0,0,2.15875728812534,2,0.749470400623977,5
6,90,4,5,HouseObjects,key,2,1,0.688494873000309,1,old,4,HouseObjects,key,1,1,1.78458159486763,6,0.372417471488006,5
